fecha,anio,mes,mes_num,ipc_alimentos
2003-01-01,2003,Enero,1,50.42
2003-02-01,2003,Febrero,2,50.98
2003-03-01,2003,Marzo,3,51.51
2003-04-01,2003,Abril,4,52.1
2003-05-01,2003,Mayo,5,52.36
2003-06-01,2003,Junio,6,52.33
2003-07-01,2003,Julio,7,52.26
2003-08-01,2003,Agosto,8,52.42
2003-09-01,2003,Septiembre,9,52.53
2003-10-01,2003,Octubre,10,52.56
2003-11-01,2003,Noviembre,11,52.75
2003-12-01,2003,Diciembre,12,53.07
2004-01-01,2004,Enero,1,53.54
2004-02-01,2004,Febrero,2,54.18
2004-03-01,2004,Marzo,3,54.71
2004-04-01,2004,Abril,4,54.96
2004-05-01,2004,Mayo,5,55.17
2004-06-01,2004,Junio,6,55.51
2004-07-01,2004,Julio,7,55.49
2004-08-01,2004,Agosto,8,55.51
2004-09-01,2004,Septiembre,9,55.67
2004-10-01,2004,Octubre,10,55.66
2004-11-01,2004,Noviembre,11,55.82
2004-12-01,2004,Diciembre,12,55.99
2005-01-01,2005,Enero,1,56.45
2005-02-01,2005,Febrero,2,57.02
2005-03-01,2005,Marzo,3,57.46
2005-04-01,2005,Abril,4,57.72
2005-05-01,2005,Mayo,5,57.95
2005-06-01,2005,Junio,6,58.18
2005-07-01,2005,Julio,7,58.21
2005-08-01,2005,Agosto,8,58.21
2005-09-01,2005,Septiembre,9,58.46
2005-10-01,2005,Octubre,10,58.6
2005-11-01,2005,Noviembre,11,58.66
2005-12-01,2005,Diciembre,12,58.7
2006-01-01,2006,Enero,1,59.02
2006-02-01,2006,Febrero,2,59.41
2006-03-01,2006,Marzo,3,59.83
2006-04-01,2006,Abril,4,60.09
2006-05-01,2006,Mayo,5,60.29
2006-06-01,2006,Junio,6,60.48
2006-07-01,2006,Julio,7,60.73
2006-08-01,2006,Agosto,8,60.96
2006-09-01,2006,Septiembre,9,61.14
2006-10-01,2006,Octubre,10,61.05
2006-11-01,2006,Noviembre,11,61.19
2006-12-01,2006,Diciembre,12,61.33
2007-01-01,2007,Enero,1,61.8
2007-02-01,2007,Febrero,2,62.53
2007-03-01,2007,Marzo,3,63.29
2007-04-01,2007,Abril,4,63.85
2007-05-01,2007,Mayo,5,64.05
2007-06-01,2007,Junio,6,64.12
2007-07-01,2007,Julio,7,64.23
2007-08-01,2007,Agosto,8,64.14
2007-09-01,2007,Septiembre,9,64.2
2007-10-01,2007,Octubre,10,64.2
2007-11-01,2007,Noviembre,11,64.51
2007-12-01,2007,Diciembre,12,64.82
2008-01-01,2008,Enero,1,65.51
2008-02-01,2008,Febrero,2,66.5
2008-03-01,2008,Marzo,3,67.04
2008-04-01,2008,Abril,4,67.51
2008-05-01,2008,Mayo,5,68.14
2008-06-01,2008,Junio,6,68.73
2008-07-01,2008,Julio,7,69.06
2008-08-01,2008,Agosto,8,69.19
2008-09-01,2008,Septiembre,9,69.06
2008-10-01,2008,Octubre,10,69.3
2008-11-01,2008,Noviembre,11,69.49
2008-12-01,2008,Diciembre,12,69.8
2009-01-01,2009,Enero,1,70.21
2009-02-01,2009,Febrero,2,70.8
2009-03-01,2009,Marzo,3,71.15
2009-04-01,2009,Abril,4,71.38
2009-05-01,2009,Mayo,5,71.39
2009-06-01,2009,Junio,6,71.35
2009-07-01,2009,Julio,7,71.32
2009-08-01,2009,Agosto,8,71.35
2009-09-01,2009,Septiembre,9,71.28
2009-10-01,2009,Octubre,10,71.19
2009-11-01,2009,Noviembre,11,71.14
2009-12-01,2009,Diciembre,12,71.2
2010-01-01,2010,Enero,1,71.69
2010-02-01,2010,Febrero,2,72.28
2010-03-01,2010,Marzo,3,72.46
2010-04-01,2010,Abril,4,72.79
2010-05-01,2010,Mayo,5,72.87
2010-06-01,2010,Junio,6,72.95
2010-07-01,2010,Julio,7,72.92
2010-08-01,2010,Agosto,8,73.0
2010-09-01,2010,Septiembre,9,72.9
2010-10-01,2010,Octubre,10,72.84
2010-11-01,2010,Noviembre,11,72.98
2010-12-01,2010,Diciembre,12,73.45
2011-01-01,2011,Enero,1,74.12
2011-02-01,2011,Febrero,2,74.57
2011-03-01,2011,Marzo,3,74.77
2011-04-01,2011,Abril,4,74.86
2011-05-01,2011,Mayo,5,75.07
2011-06-01,2011,Junio,6,75.31
2011-07-01,2011,Julio,7,75.42
2011-08-01,2011,Agosto,8,75.39
2011-09-01,2011,Septiembre,9,75.62
2011-10-01,2011,Octubre,10,75.77
2011-11-01,2011,Noviembre,11,75.87
2011-12-01,2011,Diciembre,12,76.19
2012-01-01,2012,Enero,1,76.75
2012-02-01,2012,Febrero,2,77.22
2012-03-01,2012,Marzo,3,77.31
2012-04-01,2012,Abril,4,77.42
