nombre_estacion,departamento,municipio,latitud,longitud,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,indicador
Aeropuerto Vásquez Cobo,AMAZONAS,LETICIA,-4.19,-69.94,4155.5,3926.0,4092.8,4060.2,3743.5,3817.5,4244.0,4597.1,4829.2,4555.1,4500.2,4195.5,Radiacion_Solar_Global
Puerto Nariño,AMAZONAS,PUERTO NARIÑO,-3.78,-70.36,3872.3,3683.4,3929.5,3730.2,3417.0,3262.5,3825.9,4089.3,4414.1,4074.7,4003.7,3780.2,Radiacion_Solar_Global
Pista Indira,ANTIOQUÍA,APARTADÓ,7.94,-76.7,4225.3,4791.7,4154.1,4120.6,4092.7,3820.2,4131.5,4319.9,4134.3,4366.1,4009.6,3830.3,Radiacion_Solar_Global
Chigorodó,ANTIOQUÍA,CHIGORODÓ,7.67,-76.69,4631.4,5436.4,4611.7,4299.6,4131.8,3726.7,3932.7,4253.6,4263.8,4525.7,3929.5,4414.2,Radiacion_Solar_Global
Maceo,ANTIOQUÍA,MACEO,6.57,-74.79,4444.3,4571.4,4380.3,4404.3,4540.2,5084.4,5296.9,5395.9,5426.1,4520.4,3974.4,4144.6,Radiacion_Solar_Global
Aeropuerto Olaya Herrera,ANTIOQUÍA,MEDELLÍN,6.22,-75.59,4382.6,4091.3,4295.7,4165.2,4050.5,4321.6,4668.1,4605.7,4595.1,4419.0,3958.3,4149.4,Radiacion_Solar_Global
Aeropuerto Olaya Herrera,ANTIOQUÍA,MEDELLÍN,6.22,-75.59,4472.8,4532.5,4228.0,4110.5,4300.2,4571.7,4856.0,4882.0,4371.3,4215.3,3919.0,4030.4,Radiacion_Solar_Global
Metromedellin,ANTIOQUÍA,MEDELLÍN,6.33,-75.55,4391.2,4738.2,4318.7,4331.6,4300.3,4802.5,4986.4,4862.0,4861.2,4155.0,4071.5,4251.5,Radiacion_Solar_Global
Aeropuerto Jose María Córdoba,ANTIOQUÍA,RIONEGRO,6.17,-75.43,4454.2,4839.2,4405.7,4540.4,5151.5,5936.7,6357.6,6211.8,5637.1,4562.0,3916.0,4463.2,Radiacion_Solar_Global
La Selva,ANTIOQUÍA,RIONEGRO,6.13,-75.41,4183.1,4279.8,4092.2,4242.2,4731.0,5214.7,5393.6,5153.6,4796.8,4377.0,3953.9,4306.9,Radiacion_Solar_Global
Santa Bárbara,ANTIOQUÍA,SANTA BARBARA,5.86,-75.56,5152.8,5103.3,4904.1,4528.5,4528.4,5027.6,5423.4,5056.9,5073.2,4699.0,4468.2,4469.7,Radiacion_Solar_Global
Aragón,ANTIOQUÍA,SANTA ROSA DE OSOS,6.78,-75.56,4210.2,4253.7,3794.7,3731.6,3897.1,4553.6,4857.6,4784.4,4789.4,3856.3,3528.5,3850.4,Radiacion_Solar_Global
