codigo_estacion,nombre_estacion,departamento,municipio,latitud,longitud,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,anual,indicador
48015050,Aeropuerto Vasquez Cobo,AMAZONAS,LETICIA,-4.19,-69.94,348.7,326.2,343.4,363.7,278.2,201.8,165.2,163.1,225.9,284.6,284.5,290.1,3275.3,Precipitacion_Normal_mm
26180160,Abejorral,ANTIOQUIA,ABEJORRAL,5.79,-75.43,105.1,108.2,190.4,247.6,264.9,157.9,128.3,194.9,269.3,304.3,260.7,176.9,2408.3,Precipitacion_Normal_mm
26180090,El Buey,ANTIOQUIA,ABEJORRAL,5.92,-75.45,61.7,69.5,115.9,192.9,236.2,172.8,128.7,174.2,210.2,276.2,223.0,96.4,1957.8,Precipitacion_Normal_mm
27010850,Amalfi,ANTIOQUIA,AMALFI,6.91,-75.08,116.7,142.4,189.1,392.9,432.6,323.2,314.9,357.2,434.9,544.3,344.7,154.8,3747.7,Precipitacion_Normal_mm
27010890,Cueva Santa,ANTIOQUIA,AMALFI,6.96,-75.04,75.6,166.1,175.7,346.0,333.7,288.6,310.5,318.6,319.3,372.9,267.3,119.5,3093.8,Precipitacion_Normal_mm
26195020,Ita Andes,ANTIOQUIA,ANDES,5.69,-75.88,84.3,101.9,158.3,223.4,242.2,174.4,172.9,209.8,207.1,236.7,193.3,114.5,2118.9,Precipitacion_Normal_mm
26190100,Santa Bárbara,ANTIOQUIA,ANDES,5.56,-75.9,114.4,133.6,161.2,233.5,274.9,193.0,175.3,199.7,238.1,275.4,196.0,156.9,2352.1,Precipitacion_Normal_mm
27020210,Angostura,ANTIOQUIA,ANGOSTURA,6.88,-75.33,71.3,79.7,91.3,263.5,361.9,349.4,323.4,331.8,362.3,352.5,194.2,107.7,2888.8,Precipitacion_Normal_mm
27020090,El Tabor,ANTIOQUIA,ANGOSTURA,6.8,-75.38,83.9,94.2,161.2,318.2,422.9,340.7,324.1,346.0,346.7,350.4,256.9,119.3,3164.7,Precipitacion_Normal_mm
26210090,Anza,ANTIOQUIA,ANZÁ,6.3,-75.86,38.8,67.1,103.4,168.8,235.3,198.1,135.2,157.7,189.0,219.4,150.7,55.8,1719.2,Precipitacion_Normal_mm
12030020,El Carmelo,ANTIOQUIA,ARBOLETES,8.62,-76.38,22.5,36.4,20.3,122.3,182.4,147.0,152.3,200.3,161.5,155.1,125.5,64.4,1390.2,Precipitacion_Normal_mm
27010570,Barbosa,ANTIOQUIA,BARBOSA,6.43,-75.33,63.7,77.4,121.4,215.3,290.3,222.6,214.8,244.7,285.3,322.0,197.6,91.0,2345.9,Precipitacion_Normal_mm
27010480,Tasajera,ANTIOQUIA,BARBOSA,6.4,-75.43,46.5,66.6,107.6,195.4,208.8,180.7,152.9,187.0,188.8,219.5,175.1,83.4,1812.3,Precipitacion_Normal_mm
27010370,Fabricato,ANTIOQUIA,BELLO,6.37,-75.6,47.4,63.3,104.3,179.7,215.7,168.8,145.0,174.2,201.8,246.4,161.1,84.3,1791.9,Precipitacion_Normal_mm
27015090,Tulio Ospina,ANTIOQUIA,BELLO,6.32,-75.55,28.4,44.9,90.5,169.3,200.8,144.3,118.2,149.3,181.7,210.8,130.6,70.1,1538.9,Precipitacion_Normal_mm
27010870,Belmira,ANTIOQUIA,BELMIRA,6.61,-75.67,84.9,105.8,144.6,214.4,260.9,163.5,151.6,170.7,214.4,264.0,204.0,125.2,2104.1,Precipitacion_Normal_mm
27010720,El Gomez,ANTIOQUIA,BELMIRA,6.73,-75.65,71.0,96.7,156.5,228.1,269.7,173.3,158.6,172.1,192.3,241.6,185.2,128.7,2073.9,Precipitacion_Normal_mm
26190090,Betania Las Guacas,ANTIOQUIA,BETANIA,5.76,-75.98,112.6,119.2,157.6,264.3,317.4,211.6,191.2,244.5,235.2,299.8,222.1,146.9,2522.3,Precipitacion_Normal_mm
26230160,Briceño,ANTIOQUIA,BRICEÑO,7.11,-75.51,137.1,164.9,259.6,463.2,591.9,654.6,721.2,680.8,595.9,684.1,459.5,239.1,5652.0,Precipitacion_Normal_mm
26250030,Cáceres,ANTIOQUIA,CÁCERES,7.58,-75.35,90.6,86.9,145.9,390.1,482.4,440.7,401.6,458.9,440.6,476.4,287.5,144.7,3846.2,Precipitacion_Normal_mm
26240100,Guarumo La Lucha,ANTIOQUIA,CÁCERES,7.86,-75.21,46.2,52.8,72.6,186.3,312.3,345.5,348.3,370.3,322.6,346.4,213.3,124.9,2741.6,Precipitacion_Normal_mm
26210070,Caicedo,ANTIOQUIA,CAICEDO,6.41,-75.98,76.7,75.6,129.4,175.9,217.4,147.7,155.1,145.9,188.0,242.3,137.9,77.8,1769.7,Precipitacion_Normal_mm
27010360,Caldas,ANTIOQUIA,CALDAS,6.07,-75.63,101.9,113.3,191.6,297.3,320.4,222.9,180.7,216.8,271.5,336.9,255.1,150.6,2658.9,Precipitacion_Normal_mm
27020110,Campamento,ANTIOQUIA,CAMPAMENTO,6.98,-75.3,127.3,136.8,177.1,356.5,449.2,446.7,420.5,456.8,449.6,430.8,304.9,167.4,3923.4,Precipitacion_Normal_mm
23080530,Caracoli,ANTIOQUIA,CARACOLÍ,6.42,-74.77,87.8,96.6,202.9,303.2,381.7,252.0,262.3,332.9,356.6,434.5,284.4,107.3,3102.2,Precipitacion_Normal_mm
23080080,Inmarco,ANTIOQUIA,CARACOLÍ,6.3,-74.7,86.7,83.8,155.6,257.6,328.9,245.9,219.4,243.8,330.3,355.5,217.2,119.0,2643.8,Precipitacion_Normal_mm
23080300,El Carmen,ANTIOQUIA,CARMEN DE VIBORAL,6.08,-75.33,106.3,125.0,163.2,272.6,314.1,284.6,255.7,323.6,309.2,282.5,203.8,114.6,2755.2,Precipitacion_Normal_mm
27010500,Carolina,ANTIOQUIA,CAROLINA,6.73,-75.28,67.9,94.8,132.8,291.7,444.2,376.9,332.4,366.0,394.9,358.7,210.8,108.2,3179.3,Precipitacion_Normal_mm
27020140,Miraflores,ANTIOQUIA,CAROLINA,6.78,-75.32,72.5,89.0,132.3,293.5,399.4,365.6,363.1,359.3,354.6,331.5,235.1,117.0,3112.9,Precipitacion_Normal_mm
27020070,Salado el TC 2,ANTIOQUIA,CAROLINA,6.8,-75.3,81.6,116.8,159.5,351.5,472.9,449.3,437.4,436.9,427.8,386.4,272.3,134.7,3727.1,Precipitacion_Normal_mm
25021390,Caucasia,ANTIOQUIA,CAUCASIA,8.0,-75.2,36.4,31.5,59.9,199.1,254.5,321.3,331.2,380.7,328.7,287.3,192.3,71.1,2494.2,Precipitacion_Normal_mm
27040030,La Esmeralda,ANTIOQUIA,CAUCASIA,7.75,-74.85,72.4,100.8,115.9,309.6,487.9,433.5,452.9,541.0,539.5,520.8,384.5,221.5,4180.2,Precipitacion_Normal_mm
26240060,Manizales,ANTIOQUIA,CAUCASIA,7.75,-74.86,45.2,47.6,61.7,203.4,356.1,370.5,307.4,357.1,321.4,329.1,227.6,101.3,2728.4,Precipitacion_Normal_mm
12015090,La Palmera,ANTIOQUIA,CHIGORODÓ,7.54,-76.61,72.4,61.3,90.0,272.0,468.4,485.8,420.2,491.5,500.1,557.7,434.4,267.1,4120.9,Precipitacion_Normal_mm
23080520,Cocorna,ANTIOQUIA,COCORNÁ,6.07,-75.18,252.9,260.4,388.3,551.7,560.8,374.1,308.4,437.2,508.8,581.3,494.2,372.3,5090.3,Precipitacion_Normal_mm
23080360,Concepción,ANTIOQUIA,CONCEPCIÓN,6.4,-75.27,104.2,127.2,178.2,285.4,373.5,297.7,298.7,344.5,336.5,345.2,258.9,138.1,3087.9,Precipitacion_Normal_mm
26210080,La Herradura,ANTIOQUIA,CONCORDIA,6.1,-75.87,60.6,50.8,97.6,176.2,222.1,202.6,157.6,228.8,234.9,269.8,177.9,84.7,1963.6,Precipitacion_Normal_mm
27010650,Don Matías,ANTIOQUIA,DON MATÍAS,6.48,-75.4,62.1,81.4,120.9,235.1,297.9,243.4,227.4,254.7,278.7,311.4,203.6,105.5,2422.0,Precipitacion_Normal_mm
27010400,Riogrande Almacén,ANTIOQUIA,DON MATÍAS,6.55,-75.4,83.1,91.4,149.7,247.6,376.9,355.6,367.0,397.4,381.8,319.5,207.9,104.5,3082.4,Precipitacion_Normal_mm
