codigo_estacion,fecha_observacion,valor_observado,nombre_estacion,departamento,municipio,latitud,longitud,unidad_medida
26255030,2005-05-18 09:00:00,25.8,SANTA ISABEL VALDIVIA - AUT,ANTIOQUIA,VALDIVIA,7.157277778,-75.44222222,°C
52055150,2006-05-09 19:00:00,6.5,CERRO PARAMO  - AUT,NARIÑO,PUERRES,0.843111111,-77.38880556,°C
27015300,2006-05-30 09:00:00,17.8,VILLANUEVA,ANTIOQUIA,MEDELLÍN,6.253,-75.55,°C
24055080,2006-07-14 07:00:00,25.2,VIZCAINA LA LIZAMA  - AUT,SANTANDER,BARRANCABERMEJA,6.982972222,-73.70488889,°C
26255030,2006-09-29 16:00:00,23.9,SANTA ISABEL VALDIVIA - AUT,ANTIOQUIA,VALDIVIA,7.157277778,-75.44222222,°C
21015050,2007-01-09 17:00:00,20.7,PURACE  - AUT,HUILA,SAN AGUSTÍN,1.925916667,-76.42755556,°C
24035390,2008-02-24 22:00:00,3.6,PARAMO ALMORZADERO  - AUT,SANTANDER,CERRITO,6.945388889,-72.69633333,°C
21215170,2008-03-12 07:00:00,15.3,LA MARTINICA,TOLIMA,IBAGUÉ,4.402,-75.229,°C
24015110,2008-04-27 02:00:00,11.4,LA BOYERA - AUT,CUNDINAMARCA,UBATÉ,5.303805556,-73.85175,°C
13095010,2008-12-21 14:00:00,29.6,COVEÑAS - DIMAR,SUCRE,TOLÚ,9.383,-75.667,°C
24035380,2009-03-09 15:00:00,4.6,NEVADO DEL COCUY - AUT,BOYACÁ,GUICÁN,6.509111111,-72.31416667,°C
27015280,2009-05-05 19:00:00,9.2,PARAMO BELMIRA - AUT,ANTIOQUIA,ENTRERRIOS,6.632027778,-75.64444444,°C
26085170,2009-05-14 22:00:00,23.6,BASE AEREA MARCO FIDEL SUAREZ  - AUT,VALLE DEL CAUCA,CALI,3.4545,-76.49972222,°C
35035110,2009-07-06 11:00:00,20.9,SALINAS DE UPIN  - AUT,META,RESTREPO,4.273861111,-73.58686111,°C
21215150,2010-03-18 10:00:00,2.7,NEVADO DEL TOLIMA  - AUT,TOLIMA,ANZOÁTEGUI,4.670777778,-75.32777778,°C
13095010,2010-10-31 11:00:00,29.3,COVEÑAS - DIMAR,SUCRE,TOLÚ,9.383,-75.667,°C
21206810,2010-11-21 11:30:00,19.4,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.55,-74.233,°C
21202170,2011-01-11 03:30:00,12.9,SIERRA MORENA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.567,-74.167,°C
21202220,2011-05-09 20:50:00,15.6,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.617,-74.05,°C
35027510,2011-05-16 15:00:00,15.6,CALOSTROS BAJO - AUT,CUNDINAMARCA,LA CALERA,4.6645,-73.863083333,°C
23195190,2011-07-15 08:00:00,16.9,SAN ANTONIO,SANTANDER,FLORIDABLANCA,7.1,-73.066,°C
21202170,2011-07-19 14:45:00,17.7,SIERRA MORENA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",4.567,-74.167,°C
21202200,2011-09-07 13:30:00,17.1,VITELMA,BOGOTA D.C.,"BOGOTA, D.C",4.575,-74.072,°C
