producto,categoria,mercado,precio_kg,variacion_pct
Ahuyama,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",1033.0,0.0
Ahuyama,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",2200.0,-0.03
Ahuyama,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",1350.0,0.0
Ahuyama,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",1600.0,0.14
Ahuyama,Verduras y hortalizas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",1917.0,0.0
Ahuyama,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",1800.0,0.0
Ahuyama,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",2000.0,0.0
Ahuyama,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",1250.0,0.0
Ahuyama,Verduras y hortalizas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",1700.0,-0.04
Ahuyama,Verduras y hortalizas,"oPoeoroeoioroao,o o oMoeorocoaosoao",1700.0,-0.04
Ahuyama,Verduras y hortalizas,oTouonojoao,958.0,-0.03
Arveja verde en vaina,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",5600.0,0.0
Arveja verde en vaina,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",7200.0,0.01
Arveja verde en vaina,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",6700.0,0.05
Arveja verde en vaina,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",6700.0,0.2
Arveja verde en vaina,Verduras y hortalizas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",8500.0,-0.01
Arveja verde en vaina,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",5900.0,-0.07
Arveja verde en vaina,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",8000.0,0.0
Arveja verde en vaina,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",5425.0,0.01
Arveja verde en vaina,Verduras y hortalizas,"oNoeoiovoao,o oSouoroaoboaosotoooso",6800.0,-0.04
Arveja verde en vaina,Verduras y hortalizas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",5700.0,0.0
Arveja verde en vaina,Verduras y hortalizas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",6280.0,-0.06
Arveja verde en vaina,Verduras y hortalizas,"oPoeoroeoioroao,o o oMoeorocoaosoao",6933.0,0.04
Arveja verde en vaina,Verduras y hortalizas,oTouonojoao,6200.0,-0.05
Cebolla cabezona blanca,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",2733.0,0.14
Cebolla cabezona blanca,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",1917.0,-0.08
Cebolla cabezona blanca,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",2225.0,-0.12
Cebolla cabezona blanca,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",2917.0,0.06
Cebolla cabezona blanca,Verduras y hortalizas,"oCoúocouotoao,o oCoeonoaoboaosotoooso",2517.0,0.0
Cebolla cabezona blanca,Verduras y hortalizas,"oIoboaogouoéo,o oPoloaozoao oLoao o2o1o",2627.0,-0.13
Cebolla cabezona blanca,Verduras y hortalizas,"oMoaonoiozoaoloeoso,o oCoeonotorooo oGoaoloeoroíoaoso",3100.0,0.0
Cebolla cabezona blanca,Verduras y hortalizas,"oMoeodoeololoíono,o oCoMoAo",2448.0,-0.15
Cebolla cabezona blanca,Verduras y hortalizas,"oPoaosotooo,o oEolo oPoootoroeoroiololooo",2005.0,-0.16
Cebolla cabezona blanca,Verduras y hortalizas,"oPoeoroeoioroao,o o oLoao o4o1o-oIomopoaoloao",2713.0,-0.21
Cebolla cabezona blanca,Verduras y hortalizas,"oPoeoroeoioroao,o o oMoeorocoaosoao",2800.0,0.09
Cebolla cabezona blanca,Verduras y hortalizas,oSoaonotoao oMoaorotoao,3100.0,-0.05
Cebolla cabezona blanca,Verduras y hortalizas,oTouonojoao,1825.0,-0.19
Cebolla junca,Verduras y hortalizas,"oAoromoeonoioao,o oMoeorocoaoro",2476.0,0.0
Cebolla junca,Verduras y hortalizas,"oBooogoootoáo,o oCoooroaoboaosotoooso",2083.0,-0.17
Cebolla junca,Verduras y hortalizas,"oBouocoaoroaomoaonogoao,o oCoeonotoroooaoboaosotoooso",1836.0,0.04
Cebolla junca,Verduras y hortalizas,"oCoaoloio,o o oCoaovoaosoao",1833.0,0.03
