codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida,valorobservado_lag_1,valorobservado_lag_2,valorobservado_lag_7,valorobservado_rolling_mean_7,valorobservado_rolling_std_7,valorobservado_rolling_mean_14,valorobservado_rolling_std_14,sin_mes,cos_mes,sin_dia_ano,cos_dia_ano,sin_dia_semana,cos_dia_semana
35095120,240,2020-03-11 00:00:00,0.0,AQUITANIA - AUT,BOYACÁ,AQUITANIA,META,5.556638889,-72.88175,Precipitacion,mm,,,,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
35025080,240,2020-03-11 00:10:00,0.0,PNN CHINGAZA - AUT,CUNDINAMARCA,LA CALERA,META,4.661,-73.82733333,Precipitacion,mm,0.0,,,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
5204700100,240,2020-03-11 00:20:00,0.0,PUENTE LOS DOLORES - AUT,NARIÑO,PASTO,PATÍA,1.199805556,-77.265694444,Precipitacion,mm,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26237040,240,2020-03-11 00:20:00,0.0,PTO VALDIVIA,ANTIOQUIA,VALDIVIA,CAUCA,7.287,-75.396,Precipitacion,mm,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
24055501,240,2020-03-11 00:30:00,0.0,CHUCURI  - AUT,SANTANDER,SAN VICENTE DE CHUCURÍ,SOGAMOSO,6.863566667,-73.38411667,Precipitacion,mm,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
1111500036,240,2020-03-11 00:30:00,0.0,ABRIAQUI - AUT,ANTIOQUIA,ABRIAQUÍ,ATRATO - DARIÉN,6.6363,-76.070733333,Precipitacion,mm,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
2805500075,240,2020-03-11 00:40:00,0.0,CURUMANÍ - AUT,CESAR,CURUMANÍ,CESAR,9.238138889,-73.512916667,Precipitacion,mm,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26075501,240,2020-03-11 00:40:00,0.0,FLORIDA  - AUT,VALLE DEL CAUCA,FLORIDA,CAUCA,3.291469444,-76.17735833,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
36015501,240,2020-03-11 00:45:00,0.0,TAMARA  - AUT,CASANARE,TÁMARA,CASANARE,5.872219444,-72.11944167,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
26115090,240,2020-03-11 00:50:00,0.0,LAS BRISAS - AUT,VALLE DEL CAUCA,ANSERMANUEVO,SAN JUÁN,4.775583333,-76.14427778,Precipitacion,mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542,0.9749279121818236,-0.22252093395631434
