codigo_estacion,nombre_estacion,departamento,municipio,latitud,longitud,cod_dpto_divipola,depto_normalizado
26125504,PARAGUAICITO  - AUT,QUINDÍO,BUENAVISTA,4.395555556,-75.73416667,63,QUINDIO
3702500113,CAMPO HERMOSO - AUT,NORTE DE SANTANDER,TOLEDO,7.099138889,-72.300419444,54,NORTE DE SANTANDER
25017030,PICA PICA  - AUT,CORDOBA,MONTELÍBANO,8.030277778,-75.68027778,23,CORDOBA
26237040,PTO VALDIVIA,ANTIOQUIA,VALDIVIA,7.287,-75.396,05,ANTIOQUIA
47015100,EL ENCANO - AUT,NARIÑO,PASTO,1.159944444,-77.16147222,52,NARINO
23065502,LA PALMA  - AUT,CUNDINAMARCA,LA PALMA,5.330266667,-74.40156111,25,CUNDINAMARCA
1602500110,ARBOLEDAS - AUT,NORTE DE SANTANDER,ARBOLEDAS,7.645111111,-72.799169444,54,NORTE DE SANTANDER
2308500071,RETIRO - AUT,ANTIOQUIA,RETIRO,6.060275,-75.509513889,05,ANTIOQUIA
21015060,MARENGO  - AUT,HUILA,PITALITO,2.221111111,-76.11888889,41,HUILA
11080010,PR CHOCO: BELLAVISTA,CHOCÓ,BOJAYÁ (BELLAVISTA),6.559,-76.885,27,CHOCO
29004520,ESCUELA NAVAL BARRANQUILLA  - AUT,ATLANTICO,BARRANQUILLA,11.00638889,-74.785,08,ATLANTICO
21205910,LA COSECHA - AUT,CUNDINAMARCA,ZIPAQUIRÁ,4.989222222,-74.00119444,25,CUNDINAMARCA
26217010,LA GALERA - AUT,ANTIOQUIA,SANTA FE DE ANTIOQUIA,6.554972222,-75.86419444,05,ANTIOQUIA
12015060,TULENAPA  - AUT,ANTIOQUIA,CAREPA,7.773944444,-76.66575,05,ANTIOQUIA
21255501,LA TRINIDAD  - AUT,TOLIMA,LÍBANO,4.895,-75.04,73,TOLIMA
25025340,SAN MARCOS - AUT,SUCRE,SAN MARCOS,8.596833333,-75.14269444,70,SUCRE
47017110,MONOPAMBA  - AUT,NARIÑO,PUERRES,0.807777778,-77.30694444,52,NARINO
21209920,SANTA ROSITA - AUT,CUNDINAMARCA,SUESCA,5.19225,-73.77905556,25,CUNDINAMARCA
35037100,PUENTE ABADIA - AUT,META,VILLAVICENCIO,4.235333333,-73.63536111,50,META
37057020,ALCARAVAN  AUT,ARAUCA,ARAUQUITA,7.035,-71.41638889,81,ARAUCA
23195240,AGUACHICA - AUT,CESAR,AGUACHICA,8.123416667,-73.57986111,20,CESAR
2603500127,REMOLINO ALERTAS - EL VOLCAN - AUT,CAUCA,EL TAMBO,2.542913889,-76.852061111,19,CAUCA
16027060,PUERTO LEON - AUT,NORTE DE SANTANDER,PUERTO SANTANDER,8.350277778,-72.43472222,54,NORTE DE SANTANDER
52055210,BOTANA - AUT,NARIÑO,PASTO,1.16,-77.27880556,52,NARINO
2120700146,UNIVERSIDAD DE LA SABANA - AUT,CUNDINAMARCA,CHÍA,4.85475,-74.04,25,CUNDINAMARCA
35217030,PUENTE LA CABANA,CASANARE,YOPAL,5.438,-72.455,85,CASANARE
26135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,4.776361111,-75.4125,66,RISARALDA
56015010,PR CHOCO: PANAMERICANA,CHOCÓ,BAHÍA SOLANO (MUTIS),6.223,-77.404,27,CHOCO
1501700160,RIO MANZANARES ALERTAS - AUT,MAGDALENA,SANTA MARTA,11.187080556,-74.096905556,47,MAGDALENA
36015501,TAMARA  - AUT,CASANARE,TÁMARA,5.872219444,-72.11944167,85,CASANARE
26145506,FILO BONITO  - AUT,CALDAS,BELALCAZAR,4.986358333,-75.84574722,17,CALDAS
35235040,PERENCO - TRINIDAD METEO,CASANARE,TRINIDAD,5.419,-71.666,85,CASANARE
46035010,MAGUARE - AUT,CAQUETA,EL DONCELLO,1.640222222,-75.16266667,18,CAQUETA
23085501,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,6.061941667,-75.18666667,05,ANTIOQUIA
15035020,TERMOGUAJIRA  - AUT,LA GUAJIRA,DIBULLA,11.2525,-73.41138889,44,LA GUAJIRA
26155220,VILLAMARIA - AUT,CALDAS,VILLAMARIA,5.048666667,-75.51388889,17,CALDAS
26125710,APTO MATECAÑA TX GPS/GOES,RISARALDA,PEREIRA,4.813,-75.74,66,RISARALDA
21055501,SIMON CAMPOS  - AUT,HUILA,LA PLATA,2.345830556,-75.87805556,41,HUILA
24027070,MERIDA - AUT,SANTANDER,PÁRAMO,6.444722222,-73.15833333,68,SANTANDER
2319500125,POLIDEPORTIVO CACHIRA - AUT,NORTE DE SANTANDER,CÁCHIRA,7.649638889,-73.178361111,54,NORTE DE SANTANDER
26155150,LAS BRISAS - AUT,CALDAS,VILLAMARIA,4.934527778,-75.35038889,17,CALDAS
21057050,VEGA EL SALADO  - AUT,HUILA,LA PLATA,2.331444444,-75.94216667,41,HUILA
21015502,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,1.851416667,-76.30433056,41,HUILA
26145505,LA FLORESTA  - AUT,CALDAS,BELALCAZAR,4.979219444,-75.83555556,17,CALDAS
35217060,PERENCO: EL PLAYON,CASANARE,NUNCHÍA,5.54,-72.232,85,CASANARE
21137050,RIO ANGOSTURA  - AUT,TOLIMA,NATAGAIMA,3.443194444,-75.11880556,73,TOLIMA
2301700089,GUALÍ ALERTAS - AUT,TOLIMA,FRESNO,5.134277778,-75.062055556,73,TOLIMA
21115501,TELLO  - AUT,HUILA,TELLO,2.960666667,-75.02849722,41,HUILA
26125508,LACATALINA  - AUT,RISARALDA,PEREIRA,4.7475,-75.73805556,66,RISARALDA
35085080,LA CAPILLA - AUT,BOYACÁ,LA CAPILLA,5.099194444,-73.436,15,BOYACA
14019030,CC DIQUE: CIOH,BOLÍVAR,CARTAGENA DE INDIAS,10.391,-75.534,13,BOLIVAR
26247010,PALMIRA HACIENDA  - AUT,ANTIOQUIA,CÁCERES,7.796777778,-75.37252778,05,ANTIOQUIA
24035390,PARAMO ALMORZADERO  - AUT,SANTANDER,CERRITO,6.945388889,-72.69633333,68,SANTANDER
21206790,HACIENDA SANTA ANA - AUT,CUNDINAMARCA,NEMOCÓN,5.0905,-73.88125,25,CUNDINAMARCA
29067150,GANADERIA CARIBE  - AUT,MAGDALENA,ARACATACA,10.57491667,-74.12666667,47,MAGDALENA
21205502,MISIONES  - AUT,CUNDINAMARCA,EL COLEGIO,4.544997222,-74.44055556,25,CUNDINAMARCA
25020440,SAN PEDRO - LA MOJANA TX GPRS/GOES,SUCRE,SAN PEDRO,9.402,-75.016,70,SUCRE
23025502,ALMACAFE LETRAS  - AUT,CALDAS,MANIZALES,5.044997222,-75.33221944,17,CALDAS
29047070,SAN PEDRITO - TX GPRS,ATLÁNTICO,SUAN,10.268,-74.908,08,ATLANTICO
28025502,APTO ALFONSO LOPEZ,CESAR,VALLEDUPAR,10.436,-73.248,20,CESAR
26115501,MANUEL MARIA MALLARINO  - AUT,VALLE DEL CAUCA,TRUJILLO,4.213611111,-76.31497222,76,VALLE DEL CAUCA
1206500136,UNIVERSIDAD UNAD CARTAGENA - AUT,BOLIVAR,CARTAGENA DE INDIAS,10.400311111,-75.513280556,13,BOLIVAR
26145503,ANSERMA  - AUT,CALDAS,ANSERMA,5.231330556,-75.77961667,17,CALDAS
11057020,SAN ANTONIO PADUA  - AUT,ANTIOQUIA,VIGIA DEL FUERTE,6.286666667,-76.76180556,05,ANTIOQUIA
21237020,ARRANCAPLUMAS  - AUT,CUNDINAMARCA,GUADUAS,5.202416667,-74.72761111,25,CUNDINAMARCA
21165502,VILLARICA  - AUT,TOLIMA,VILLARRICA,3.955641667,-74.59178611,73,TOLIMA
25025030,AYAPEL,CÓRDOBA,AYAPEL,8.295,-75.165,23,CORDOBA
