Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
"Total, Indice de Precios al Consumidor (IPC)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Índices - Serie de empalme
2003 - 2026",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Base Diciembre de 2018 = 100,00"
Mes,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026
Enero,50.42,53.54,56.45,59.02,61.8,65.51,70.21,71.69,74.12,76.75,78.28,79.95,83.0,89.19,94.07,97.53,100.6,104.24,105.91,113.26,128.27,138.98,146.24,154.07
Febrero,50.98,54.18,57.02,59.41,62.53,66.5,70.8,72.28,74.57,77.22,78.63,80.45,83.96,90.33,95.01,98.22,101.18,104.94,106.58,115.11,130.4,140.49,147.9,155.73
Marzo,51.51,54.71,57.46,59.83,63.29,67.04,71.15,72.46,74.77,77.31,78.79,80.77,84.45,91.18,95.46,98.45,101.62,105.53,107.12,116.26,131.77,141.48,148.68,156.94
Abril,52.1,54.96,57.72,60.09,63.85,67.51,71.38,72.79,74.86,77.42,78.99,81.14,84.9,91.63,95.91,98.91,102.12,105.7,107.76,117.71,132.8,142.32,149.66,158.17
Mayo,52.36,55.17,57.95,60.29,64.05,68.14,71.39,72.87,75.07,77.66,79.21,81.53,85.12,92.1,96.12,99.16,102.44,105.36,108.84,118.7,133.38,142.92,150.14,158.91
Junio,52.33,55.51,58.18,60.48,64.12,68.73,71.35,72.95,75.31,77.72,79.39,81.61,85.21,92.54,96.23,99.31,102.71,104.97,108.78,119.31,133.78,143.38,150.3,159.53
Julio,52.26,55.49,58.21,60.73,64.23,69.06,71.32,72.92,75.42,77.7,79.43,81.73,85.37,93.02,96.18,99.18,102.94,104.97,109.14,120.27,134.45,143.67,150.71,159.79
Agosto,52.42,55.51,58.21,60.96,64.14,69.19,71.35,73.0,75.39,77.73,79.5,81.9,85.78,92.73,96.32,99.3,103.03,104.96,109.62,121.5,135.39,143.67,150.99,160.42
Septiembre,52.53,55.67,58.46,61.14,64.2,69.06,71.28,72.9,75.62,77.96,79.73,82.01,86.39,92.68,96.36,99.47,103.26,105.29,110.04,122.63,136.11,144.02,151.48,
Octubre,52.56,55.66,58.6,61.05,64.2,69.3,71.19,72.84,75.77,78.08,79.52,82.14,86.98,92.62,96.37,99.59,103.43,105.23,110.06,123.51,136.45,143.83,151.76,
Noviembre,52.75,55.82,58.66,61.19,64.51,69.49,71.14,72.98,75.87,77.98,79.35,82.25,87.51,92.73,96.55,99.7,103.54,105.08,110.6,124.46,137.09,144.22,151.87,
Diciembre,53.07,55.99,58.7,61.33,64.82,69.8,71.2,73.45,76.19,78.05,79.56,82.47,88.05,93.11,96.92,100.0,103.8,105.48,111.41,126.03,137.72,144.88,152.27,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: DANE.,,,,,,,,,,,,,,,,,,,,,,,,
"Nota: La diferencia en la suma de las variables, obedece al sistema de aproximación y redondeo.",,,,,,,,,,,,,,,,,,,,,,,,
Actualizado el 7 de Septiembre de 2026,,,,,,,,,,,,,,,,,,,,,,,,
