codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0021015050,0068,2012-03-26T07:00:00.000,13.5,PURACE  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.925916667,-76.42755556,Temp Aire 2 m,°C
0026175501,0068,2018-02-14T02:40:00.000,19.26967,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,CAUCA,5.45,-75.63305556,Temp Aire 2 m,°C
0023085501,0068,2016-06-12T09:45:00.000,24.5,COCORNA  - AUT,ANTIOQUIA,COCORNÁ,MEDIO MAGDALENA,6.061941667,-75.18666667,Temp Aire 2 m,°C
0048015040,0068,2012-03-16T08:00:00.000,26.5,PTO NARIÑO,AMAZONAS,PUERTO NARIÑO,AMAZONAS - DIRECTOS,-3.78,-70.363,Temp Aire 2 m,°C
0021202240,0068,2013-05-21T09:25:00.000,15.85,UAN SEDE CIRCUNVALAR - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.633,-74.05,Temp Aire 2 m,°C
0026145507,0068,2016-07-07T11:05:00.000,25.7,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,CAUCA,5.038,-75.80599722,Temp Aire 2 m,°C
0021215150,0068,2010-03-18T10:00:00.000,2.7,NEVADO DEL TOLIMA  - AUT,TOLIMA,ANZOÁTEGUI,ALTO MAGDALENA,4.670777778,-75.32777778,Temp Aire 2 m,°C
0023055501,0068,2018-02-08T14:00:00.000,23.1103,SANTA HELENA  - AUT,CALDAS,MARQUETALIA,MEDIO MAGDALENA,5.317497222,-74.99610833,Temp Aire 2 m,°C
0028025501,0068,2016-08-12T18:25:00.000,17.5,LA JAGUA DE IBIRICO  - AUT,CESAR,LA JAGUA DE IBIRICO,CESAR,9.533055556,-73.18033056,Temp Aire 2 m,°C
0016015110,0068,2019-06-26T08:00:00.000,29.6,UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT,NORTE DE SANTANDER,CÚCUTA,CATATUMBO,7.898777778,-72.48716667,Temp Aire 2 m,°C
0021206780,0068,2012-12-11T23:10:00.000,15.5,LA INDEPENDENCIA FOPAE Fuera de Servicio,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.317,Temp Aire 2 m,°C
0026055120,0068,2018-08-01T21:00:00.000,21,UNIVERSIDAD DEL VALLE  - AUT,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,Temp Aire 2 m,°C
2120000104,0068,2019-06-08T19:57:00.000,12.21,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.813,-74.031,Temp Aire 2 m,°C
0021202170,0068,2011-01-11T03:30:00.000,12.9,SIERRA MORENA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.567,-74.167,Temp Aire 2 m,°C
0026155502,0068,2018-08-06T14:20:00.000,29.44868,CENICAFE  - AUT,CALDAS,MANIZALES,CAUCA,4.991111111,-75.59749722,Temp Aire 2 m,°C
0026155502,0068,2018-10-05T20:20:00.000,19.4259,CENICAFE  - AUT,CALDAS,MANIZALES,CAUCA,4.991111111,-75.59749722,Temp Aire 2 m,°C
0024015110,0068,2008-04-27T02:00:00.000,11.4,LA BOYERA - AUT,CUNDINAMARCA,UBATÉ,SOGAMOSO,5.303805556,-73.85175,Temp Aire 2 m,°C
0021085501,0068,2017-12-05T00:40:00.000,18.53925,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762997222,-75.61144167,Temp Aire 2 m,°C
0026145507,0068,2017-02-23T01:30:00.000,16.1,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,CAUCA,5.038,-75.80599722,Temp Aire 2 m,°C
0021015050,0068,2007-01-09T17:00:00.000,20.7,PURACE  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.925916667,-76.42755556,Temp Aire 2 m,°C
0026125505,0068,2019-03-02T19:50:00.000,18.81743,LA BELLA  - AUT,QUINDÍO,CALARCÁ,CAUCA,4.501111111,-75.67138889,Temp Aire 2 m,°C
0021085501,0068,2018-08-05T02:50:00.000,16.75068,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762997222,-75.61144167,Temp Aire 2 m,°C
0028025130,0068,2015-05-04T17:00:00.000,32.6,LA LOMA CARBONES - AUT,CESAR,EL PASO,CESAR,9.640611111,-73.52394444,Temp Aire 2 m,°C
0052015501,0068,2018-09-28T16:15:00.000,26.12095,BALBOA  - AUT,CAUCA,BALBOA,PATÍA,2.125191667,-77.19266667,Temp Aire 2 m,°C
0023025501,0068,2017-08-03T18:05:00.000,24.04432,MANZANARES  - AUT,CALDAS,MANZANARES,MEDIO MAGDALENA,5.163913889,-75.11740833,Temp Aire 2 m,°C
0024055501,0068,2019-03-14T21:25:00.000,20.33973,CHUCURI  - AUT,SANTANDER,SAN VICENTE DE CHUCURÍ,SOGAMOSO,6.863566667,-73.38411667,Temp Aire 2 m,°C
0023065501,0068,2018-08-14T09:30:00.000,20.56438,PACHO  - AUT,CUNDINAMARCA,PACHO,MEDIO MAGDALENA,5.129127778,-74.15769722,Temp Aire 2 m,°C
0024025501,0068,2018-04-22T10:40:00.000,24.71359,ALBERTO SANTOS  - AUT,SANTANDER,SOCORRO,SOGAMOSO,6.493052778,-73.22111111,Temp Aire 2 m,°C
0023085260,0068,2017-07-23T14:00:00.000,23.8,LA SELVA - AUT,ANTIOQUIA,RIONEGRO,MEDIO MAGDALENA,6.131916667,-75.41455556,Temp Aire 2 m,°C
0026125506,0068,2016-08-21T14:25:00.000,33.3,EL AGRADO  - AUT,QUINDÍO,MONTENEGRO,CAUCA,4.518333333,-75.7925,Temp Aire 2 m,°C
0021205521,0068,2019-04-09T23:40:00.000,10.512,SANTA HELENA  - AUT,CUNDINAMARCA,LA CALERA,ALTO MAGDALENA,4.738,-73.936,Temp Aire 2 m,°C
0021202250,0068,2015-08-28T03:30:00.000,13.2,DOÑA JUANA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.5,-74.133,Temp Aire 2 m,°C
0021201980,0068,2014-06-30T23:00:00.000,11,CERRO GUADALUPE - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.567,-74.05,Temp Aire 2 m,°C
0026145506,0068,2019-07-02T10:40:00.000,27.88343,FILO BONITO  - AUT,CALDAS,BELALCAZAR,CAUCA,4.986358333,-75.84574722,Temp Aire 2 m,°C
0026125300,0068,2013-11-30T21:00:00.000,14.1,CALARCA - AUT,QUINDÍO,CALARCÁ,CAUCA,4.528305556,-75.59638889,Temp Aire 2 m,°C
0021255501,0068,2016-07-25T09:45:00.000,20.3,LA TRINIDAD  - AUT,TOLIMA,LÍBANO,ALTO MAGDALENA,4.895,-75.04,Temp Aire 2 m,°C
0023125501,0068,2018-04-04T23:20:00.000,17.30786,PAUNA  - AUT,BOYACÁ,PAUNA,MEDIO MAGDALENA,5.657130556,-73.96032778,Temp Aire 2 m,°C
0021202200,0068,2011-09-07T13:30:00.000,17.1,VITELMA,BOGOTA D.C.,"BOGOTA, D.C",META,4.575,-74.072,Temp Aire 2 m,°C
0027015300,0068,2006-05-30T09:00:00.000,17.8,VILLANUEVA,ANTIOQUIA,MEDELLÍN,NECHÍ,6.253,-75.55,Temp Aire 2 m,°C
0052055501,0068,2016-09-12T17:00:00.000,20.6,OSPINA PEREZ  - AUT,NARIÑO,CONSACÁ,PATÍA,1.254722222,-77.48777778,Temp Aire 2 m,°C
0023195190,0068,2011-07-15T08:00:00.000,16.9,SAN ANTONIO,SANTANDER,FLORIDABLANCA,MEDIO MAGDALENA,7.1,-73.066,Temp Aire 2 m,°C
0026125504,0068,2017-07-01T07:15:00.000,18.74993,PARAGUAICITO  - AUT,QUINDÍO,BUENAVISTA,CAUCA,4.395555556,-75.73416667,Temp Aire 2 m,°C
0027015320,0068,2018-06-14T04:00:00.000,12.2,ARAGON - AUT,ANTIOQUIA,SANTA ROSA DE OSOS,NECHÍ,6.781083333,-75.560888889,Temp Aire 2 m,°C
0035035110,0068,2009-07-06T11:00:00.000,20.9,SALINAS DE UPIN  - AUT,META,RESTREPO,META,4.273861111,-73.58686111,Temp Aire 2 m,°C
0035025501,0068,2019-06-25T04:00:00.000,13.69915,QUETAME  - AUT,CUNDINAMARCA,QUETAME,META,4.297941667,-73.87238889,Temp Aire 2 m,°C
0026145507,0068,2019-06-08T01:30:00.000,16.89208,LAS TANGAS  - AUT,CALDAS,BELALCAZAR,CAUCA,5.038,-75.80599722,Temp Aire 2 m,°C
0026125508,0068,2016-06-17T10:55:00.000,25.5,LACATALINA  - AUT,RISARALDA,PEREIRA,CAUCA,4.7475,-75.73805556,Temp Aire 2 m,°C
0021208480,0068,2015-02-17T11:15:00.000,21.5,KENNEDY - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.633,-74.15,Temp Aire 2 m,°C
0021015502,0068,2018-01-29T19:30:00.000,18.21642,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.851416667,-76.30433056,Temp Aire 2 m,°C
0027015280,0068,2009-05-05T19:00:00.000,9.2,PARAMO BELMIRA - AUT,ANTIOQUIA,ENTRERRIOS,NECHÍ,6.632027778,-75.64444444,Temp Aire 2 m,°C
0026125505,0068,2017-02-27T18:50:00.000,20.6,LA BELLA  - AUT,QUINDÍO,CALARCÁ,CAUCA,4.501111111,-75.67138889,Temp Aire 2 m,°C
0027015290,0068,2013-02-23T00:00:00.000,18.1,PAJARITO - AUT,ANTIOQUIA,MEDELLÍN,NECHÍ,6.286333333,-75.61279167,Temp Aire 2 m,°C
0052055170,0068,2017-09-16T16:00:00.000,17.7,LA JOSEFINA - AUT,NARIÑO,CONTADERO,PATÍA,0.930305556,-77.49119444,Temp Aire 2 m,°C
0022025501,0068,2018-04-05T14:40:00.000,19.90947,ATACO  - AUT,TOLIMA,ATACO,SALDAÑA,3.416666667,-75.63305556,Temp Aire 2 m,°C
0021165502,0068,2019-04-03T14:05:00.000,24.43824,VILLARICA  - AUT,TOLIMA,VILLARRICA,ALTO MAGDALENA,3.955641667,-74.59178611,Temp Aire 2 m,°C
0016015110,0068,2018-09-24T08:00:00.000,28.3,UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT,NORTE DE SANTANDER,CÚCUTA,CATATUMBO,7.898777778,-72.48716667,Temp Aire 2 m,°C
0029065501,0068,2018-05-03T11:15:00.000,24.52661,"CIENAGA,LA  - AUT",MAGDALENA,CIÉNAGA,BAJO MAGDALENA,10.89785833,-74.08156667,Temp Aire 2 m,°C
0021015501,0068,2018-09-17T07:20:00.000,17.23273,PITALITO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,1.777527778,-76.19163889,Temp Aire 2 m,°C
0052055502,0068,2019-01-28T08:50:00.000,19.06162,SANDONA  - AUT,NARIÑO,SANDONÁ,PATÍA,1.300888889,-77.46035833,Temp Aire 2 m,°C
0021206810,0068,2013-02-09T07:25:00.000,15.1,SAN BENITO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.55,-74.233,Temp Aire 2 m,°C
0029035000,0068,2016-03-04T07:00:00.000,26.4,SINCERIN  - AUT,BOLIVAR,ARJONA,BAJO MAGDALENA,10.14258333,-75.27827778,Temp Aire 2 m,°C
2120000107,0068,2019-01-15T17:20:00.000,17.05,LA FISCALA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.536,-74.106,Temp Aire 2 m,°C
0023055501,0068,2018-09-30T08:05:00.000,16.81765,SANTA HELENA  - AUT,CALDAS,MARQUETALIA,MEDIO MAGDALENA,5.317497222,-74.99610833,Temp Aire 2 m,°C
0025015020,0068,2017-01-08T21:59:00.000,25.2,CERROMATOSO,CÓRDOBA,MONTELÍBANO,BAJO MAGDALENA- CAUCA -SAN JORGE,7.931,-75.554,Temp Aire 2 m,°C
