fecha,indice_total,total_fertilizantes,total_plaguicidas,total_otros,total_simples,total_compuestos,total_herbicidas,total_fungicidas,total_insecticidas,urea_46,urea_sulfato,dap_18_46,kcl_0_0_60,sam,_15_15_15,_25_4_24,_17_6_18_2,_18_18_18,_31_8_8,_12_24_12,_13_26_6,_15_4_23,_10_20_30,_28_4_0_6,glifosato,paraquat,propanil,_2_4_d_picloram,_2_4_d,aminopiralid_2_4_d,diuron,glufosinato_de_amonio,picloram,oxadiazon,metsulfuron_metil,pendimetalin,clorotalonil,difenoconazol,mancozeb,mancozeb_cimoxanil,azoxistrobin_difenoconazol,dimetomorf,tebuconazol_trifloxistrobin,propineb_fluopicolide,mancozeb_metalaxil_m,clorpirifos,fipronil,metomil,tiametoxam_lambdacihalotrina,abamectina,imidacloprid,profenofos_cipermetrina,cipermetrina,profenofos,total_coadyuvantes,total_reguladores,total_molusquicidas
2026-07-01T00:00:00.000,170.35,203.72,116.96,133.51,205.64,201.78,118.06,113.88,114.43,223.50,206.53,239.94,164.40,163.47,186.05,211.23,200.18,214.04,217.52,204.67,212.35,204.82,177.78,159.38,124.74,107.54,138.51,118.73,123.84,145.90,119.79,74.21,104.76,84.08,70.07,109.59,91.59,92.29,151.92,120.03,128.24,89.10,122.58,139.88,127.79,0.00,0.00,121.88,73.93,98.82,82.51,125.91,123.91,130.71,134.81,126.69,205.89
2026-06-01T00:00:00.000,173.51,208.73,117.09,133.43,215.95,202.46,118.14,113.61,115.28,241.00,217.22,241.44,169.05,164.48,188.78,206.46,202.07,214.63,223.66,207.75,206.79,211.02,177.05,161.09,125.73,106.36,132.84,118.82,122.83,146.38,118.69,73.91,105.49,93.67,76.34,110.94,90.74,92.20,151.01,120.10,129.67,89.45,122.36,139.80,126.28,0.00,0.00,121.68,75.38,98.49,84.73,125.73,123.59,134.01,134.71,126.60,209.63
2026-05-01T00:00:00.000,169.50,202.61,116.53,132.88,215.10,192.06,117.11,113.17,115.81,244.32,209.21,235.43,166.11,166.49,185.26,187.21,200.66,215.36,168.66,203.04,196.42,201.07,175.77,166.63,125.26,104.88,132.56,117.74,116.24,146.64,115.83,76.08,103.93,96.03,75.11,110.90,90.03,92.29,150.87,116.81,130.14,90.84,122.53,139.42,125.97,0.00,0.00,122.42,76.40,98.59,84.56,125.06,122.96,136.28,134.14,126.17,206.75
2026-04-01T00:00:00.000,160.21,187.07,117.42,132.32,189.06,185.11,118.78,113.10,115.99,199.21,190.22,226.96,156.68,157.01,179.09,175.57,188.41,198.61,203.48,195.56,190.95,189.78,163.08,153.29,124.73,113.16,133.29,123.28,116.39,147.52,113.22,75.70,103.74,97.94,75.87,110.12,89.20,91.65,150.81,119.48,129.94,91.64,121.52,139.39,126.29,0.00,0.00,122.44,76.43,98.77,84.76,125.61,124.38,135.25,133.16,127.17,200.62
2026-03-01T00:00:00.000,150.68,171.99,116.93,131.78,169.13,174.01,118.14,112.65,115.85,172.71,167.84,217.44,145.75,140.30,167.77,160.05,173.98,180.10,191.93,184.56,188.09,178.29,161.11,171.03,124.63,112.25,132.60,119.59,114.26,146.96,112.69,76.60,105.17,97.31,74.74,113.49,89.21,92.53,150.42,115.96,129.24,91.79,121.76,138.39,125.08,0.00,0.00,121.99,77.67,98.86,84.61,125.21,121.09,134.77,132.25,127.86,197.86
2026-02-01T00:00:00.000,148.33,168.35,116.67,131.33,163.83,171.73,117.48,112.80,116.07,169.34,152.27,213.63,142.49,136.86,163.79,161.79,173.97,177.58,191.73,182.31,185.24,171.37,160.01,153.73,122.87,111.59,133.28,117.98,115.80,146.21,112.29,76.82,104.35,97.08,74.34,112.67,88.89,92.86,151.21,118.91,128.30,91.39,120.79,137.50,125.69,0.00,0.00,122.39,78.61,98.44,84.19,125.56,119.33,136.00,131.89,127.19,196.15
2026-01-01T00:00:00.000,146.40,165.06,116.95,131.12,162.25,167.05,118.08,112.69,116.05,166.53,152.19,213.25,141.66,135.47,161.06,157.99,163.86,176.94,175.58,181.47,183.30,168.69,159.35,146.43,123.16,112.02,134.18,118.55,116.75,146.92,113.45,77.18,105.61,95.90,76.32,113.52,89.22,93.05,149.66,119.19,128.64,90.58,120.84,136.41,125.20,0.00,0.00,121.08,78.63,99.85,84.39,125.24,119.69,136.51,131.75,126.91,188.69
2025-12-01T00:00:00.000,146.36,165.53,116.09,130.32,162.26,167.88,116.49,112.55,116.16,166.72,152.13,213.31,142.18,133.99,161.36,161.92,162.46,181.12,175.90,179.15,182.58,165.01,161.23,148.07,121.78,104.62,132.62,119.15,117.99,146.09,115.13,77.77,105.24,96.02,73.90,113.10,88.94,93.79,148.02,119.29,128.64,91.16,120.67,135.80,124.76,0.00,0.00,121.04,79.04,100.21,85.33,124.46,120.20,134.55,130.93,126.13,189.88
2025-11-01T00:00:00.000,146.46,165.09,117.07,130.46,162.26,167.09,118.00,112.93,116.56,167.06,152.37,210.12,141.36,136.85,159.83,161.48,162.95,176.46,173.96,182.43,181.33,166.13,160.92,147.63,125.35,111.29,132.62,118.88,115.65,146.40,116.13,78.62,99.88,97.17,68.99,112.30,88.38,93.77,147.77,121.41,128.90,94.92,120.98,135.84,124.90,0.00,0.00,121.61,78.38,99.23,85.69,125.99,120.99,138.63,131.23,125.83,185.10
2025-10-01T00:00:00.000,147.21,166.26,117.14,129.58,164.72,167.22,118.28,112.62,116.61,173.86,152.09,208.67,141.29,135.05,158.95,161.10,161.31,176.97,173.17,182.54,180.48,166.61,160.69,162.97,123.41,112.88,132.29,120.69,115.28,146.30,116.26,79.83,107.93,97.38,68.04,115.75,88.50,94.69,146.97,120.20,128.68,92.35,120.86,135.25,124.45,0.00,0.00,121.10,78.97,98.95,86.00,125.86,120.67,139.24,130.07,125.93,182.72
2025-09-01T00:00:00.000,147.05,165.71,117.63,129.30,164.08,166.73,119.00,112.61,117.15,171.39,154.71,207.71,141.12,136.28,160.64,160.95,160.18,176.42,172.15,182.51,182.08,167.95,160.47,146.81,126.68,112.96,132.23,119.99,113.35,146.47,117.21,81.37,100.38,97.45,72.91,115.71,88.38,94.71,147.02,120.77,128.47,92.93,120.75,134.94,123.87,0.00,0.00,121.46,80.13,98.74,86.09,125.62,120.52,141.40,129.82,125.63,179.14
2025-08-01T00:00:00.000,145.32,162.85,117.73,129.23,160.88,164.16,119.19,112.70,117.05,165.37,152.24,205.89,140.44,136.88,160.71,143.42,159.90,180.82,168.61,188.01,181.87,171.97,161.01,146.57,124.51,113.97,134.46,121.49,113.43,146.07,115.31,83.02,102.98,98.46,76.05,115.98,88.31,94.64,147.59,120.21,129.23,93.76,121.04,134.61,123.49,0.00,0.00,120.12,81.08,99.58,86.37,125.46,120.61,138.67,129.84,125.29,179.05
2025-07-01T00:00:00.000,146.43,164.22,118.43,128.96,159.32,167.92,120.50,112.92,116.74,164.47,149.90,203.60,136.84,138.40,162.32,156.34,160.19,176.04,183.39,191.29,181.39,173.10,161.30,145.86,126.81,112.13,137.23,120.64,113.38,147.30,116.68,83.23,116.65,98.85,76.43,116.72,88.32,94.47,147.32,120.92,129.54,95.66,120.78,134.42,124.27,0.00,0.00,119.41,80.76,99.18,86.29,125.18,121.20,138.79,129.41,125.37,186.77
2025-06-01T00:00:00.000,146.35,163.54,119.33,128.56,156.94,168.63,122.06,112.96,117.04,161.29,146.66,199.96,136.26,138.27,161.95,168.71,161.60,175.71,162.77,189.23,180.34,173.83,160.85,148.11,125.97,123.59,136.71,120.95,118.08,145.93,118.09,83.17,110.48,99.80,73.58,117.22,88.71,95.94,147.87,120.10,128.52,94.32,120.80,133.48,124.00,0.00,0.00,119.23,81.25,99.10,86.60,125.04,123.54,138.28,128.73,125.86,186.38
2025-05-01T00:00:00.000,145.31,161.79,119.43,128.26,156.82,165.55,122.00,113.07,117.56,160.69,148.25,198.03,135.54,140.40,163.72,152.93,161.81,171.93,163.97,190.06,177.67,171.58,159.82,153.61,126.55,120.17,133.35,121.03,115.87,146.96,119.77,85.78,125.59,99.47,73.08,116.93,88.51,95.53,148.14,120.26,128.51,96.41,120.99,134.02,123.71,0.00,0.00,119.28,81.61,99.43,89.89,124.53,122.89,138.57,128.76,124.50,185.09
2025-04-01T00:00:00.000,145.67,161.94,120.16,127.02,156.01,166.49,123.46,113.06,117.33,158.87,147.86,195.02,134.77,144.72,164.04,155.29,163.04,171.73,165.92,190.04,178.59,172.66,158.92,154.75,126.47,119.74,133.76,122.93,124.13,145.43,119.53,88.35,131.61,101.01,82.20,117.09,88.59,95.82,148.37,120.48,128.61,95.47,120.31,133.48,123.89,0.00,0.00,119.22,81.32,98.80,90.23,124.62,122.64,137.79,127.24,124.02,190.94
