Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Jueves 17 de septiembre de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precio $/Kg,"Armenia, Mercar",,"Bogotá, Corabastos",,"Bucaramanga, Centroabastos",,"Cali, 
Cavasa",,"Cúcuta, Cenabastos",,"Ibagué, Plaza La 21",,"Manizales, Centro Galerías",,"Medellín,
CMA",,"Neiva, Surabastos",,"Pasto, El Potrerillo",,"Pereira, 
La 41-Impala",,"Pereira, 
Mercasa",,Santa Marta,,Tunja,
,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %,Precio,Var %
Verduras y hortalizas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahuyama,1033,0,2200,-0.03,1350,0,1600,0.14,1917,0,1800,0,2000,0,1250,0,n.d.,n.d.,n.d.,n.d.,1700,-0.04,1700,-0.04,n.d.,n.d.,958,-0.03
Arveja verde en vaina,5600,0,7200,0.01,6700,0.05,6700,0.2,8500,-0.01,5900,-0.07,8000,0,5425,0.01,6800,-0.04,5700,0,6280,-0.06,6933,0.04,n.d.,n.d.,6200,-0.05
Cebolla cabezona blanca,2733,0.14,1917,-0.08,2225,-0.12,2917,0.06,2517,0,2627,-0.13,3100,0,2448,-0.15,n.d.,n.d.,2005,-0.16,2713,-0.21,2800,0.09,3100,-0.05,1825,-0.19
Cebolla junca,2476,0,2083,-0.17,1836,0.04,1833,0.03,1563,0,n.d.,n.d.,2960,-0.08,2100,0.08,2444,-0.08,1878,0,2444,-0.01,2511,0,n.d.,n.d.,2125,-0.06
Chócolo mazorca,1143,0,3317,0.08,2280,-0.07,3202,-0.12,2273,0.01,4267,-0.03,1400,0.03,1938,0.24,3600,-0.06,2120,0,n.d.,n.d.,n.d.,n.d.,2100,0,2650,0
Fríjol verde*,5200,0,5833,-0.07,7100,0.03,6883,-0.03,n.d.,n.d.,5733,-0.1,9000,0.06,5200,-0.05,6400,-0.04,5650,0.01,n.d.,n.d.,7000,0,n.d.,n.d.,5600,0
