codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0026125504,0240,2020-03-11T21:05:00.000,0,PARAGUAICITO  - AUT,QUINDÍO,BUENAVISTA,CAUCA,4.395555556,-75.73416667,Precipitacion,mm
3702500113,0240,2020-03-11T23:50:00.000,0,CAMPO HERMOSO - AUT,NORTE DE SANTANDER,TOLEDO,ARAUCA,7.099138889,-72.300419444,Precipitacion,mm
0025017030,0240,2020-03-11T10:40:00.000,0,PICA PICA  - AUT,CORDOBA,MONTELÍBANO,BAJO MAGDALENA- CAUCA -SAN JORGE,8.030277778,-75.68027778,Precipitacion,mm
0026237040,0240,2020-03-11T22:10:00.000,0,PTO VALDIVIA,ANTIOQUIA,VALDIVIA,CAUCA,7.287,-75.396,Precipitacion,mm
0047015100,0240,2020-03-11T05:20:00.000,0,EL ENCANO - AUT,NARIÑO,PASTO,PUTUMAYO,1.159944444,-77.16147222,Precipitacion,mm
0023065502,0240,2020-03-11T13:50:00.000,0,LA PALMA  - AUT,CUNDINAMARCA,LA PALMA,MEDIO MAGDALENA,5.330266667,-74.40156111,Precipitacion,mm
1602500110,0240,2020-03-11T13:20:00.000,0,ARBOLEDAS - AUT,NORTE DE SANTANDER,ARBOLEDAS,CATATUMBO,7.645111111,-72.799169444,Precipitacion,mm
0047015100,0240,2020-03-11T07:10:00.000,0,EL ENCANO - AUT,NARIÑO,PASTO,PUTUMAYO,1.159944444,-77.16147222,Precipitacion,mm
2308500071,0240,2020-03-11T07:30:00.000,0,RETIRO - AUT,ANTIOQUIA,RETIRO,MEDIO MAGDALENA,6.060275,-75.509513889,Precipitacion,mm
1602500110,0240,2020-03-11T13:00:00.000,0,ARBOLEDAS - AUT,NORTE DE SANTANDER,ARBOLEDAS,CATATUMBO,7.645111111,-72.799169444,Precipitacion,mm
0021015060,0240,2020-03-11T09:50:00.000,0,MARENGO  - AUT,HUILA,PITALITO,ALTO MAGDALENA,2.221111111,-76.11888889,Precipitacion,mm
0011080010,0240,2020-03-11T13:10:00.000,0,PR CHOCO: BELLAVISTA,CHOCÓ,BOJAYÁ (BELLAVISTA),ATRATO - DARIÉN,6.559,-76.885,Precipitacion,mm
0029004520,0240,2020-03-11T07:20:00.000,0,ESCUELA NAVAL BARRANQUILLA  - AUT,ATLANTICO,BARRANQUILLA,BAJO MAGDALENA,11.00638889,-74.785,Precipitacion,mm
0021205910,0240,2020-03-11T07:10:00.000,0,LA COSECHA - AUT,CUNDINAMARCA,ZIPAQUIRÁ,ALTO MAGDALENA,4.989222222,-74.00119444,Precipitacion,mm
0026217010,0240,2020-03-11T03:00:00.000,0,LA GALERA - AUT,ANTIOQUIA,SANTA FE DE ANTIOQUIA,CAUCA,6.554972222,-75.86419444,Precipitacion,mm
0012015060,0240,2020-03-11T02:30:00.000,0,TULENAPA  - AUT,ANTIOQUIA,CAREPA,CARIBE - LITORAL,7.773944444,-76.66575,Precipitacion,mm
0021255501,0240,2020-03-11T20:45:00.000,0,LA TRINIDAD  - AUT,TOLIMA,LÍBANO,ALTO MAGDALENA,4.895,-75.04,Precipitacion,mm
0025025340,0240,2020-03-11T04:20:00.000,0,SAN MARCOS - AUT,SUCRE,SAN MARCOS,BAJO MAGDALENA- CAUCA -SAN JORGE,8.596833333,-75.14269444,Precipitacion,mm
0047017110,0240,2020-03-11T19:20:00.000,0,MONOPAMBA  - AUT,NARIÑO,PUERRES,PUTUMAYO,0.807777778,-77.30694444,Precipitacion,mm
0021209920,0240,2020-03-11T19:30:00.000,0,SANTA ROSITA - AUT,CUNDINAMARCA,SUESCA,ALTO MAGDALENA,5.19225,-73.77905556,Precipitacion,mm
0035037100,0240,2020-03-11T22:40:00.000,0,PUENTE ABADIA - AUT,META,VILLAVICENCIO,META,4.235333333,-73.63536111,Precipitacion,mm
0037057020,0240,2020-03-11T05:20:00.000,0,ALCARAVAN  AUT,ARAUCA,ARAUQUITA,ARAUCA,7.035,-71.41638889,Precipitacion,mm
0023195240,0240,2020-03-11T11:50:00.000,0,AGUACHICA - AUT,CESAR,AGUACHICA,MEDIO MAGDALENA,8.123416667,-73.57986111,Precipitacion,mm
2603500127,0240,2020-03-11T14:30:00.000,0,REMOLINO ALERTAS - EL VOLCAN - AUT,CAUCA,EL TAMBO,CAUCA,2.542913889,-76.852061111,Precipitacion,mm
0016027060,0240,2020-03-11T17:50:00.000,0,PUERTO LEON - AUT,NORTE DE SANTANDER,PUERTO SANTANDER,CATATUMBO,8.350277778,-72.43472222,Precipitacion,mm
0052055210,0240,2020-03-11T17:30:00.000,0,BOTANA - AUT,NARIÑO,PASTO,PATÍA,1.16,-77.27880556,Precipitacion,mm
